,text,sentiment
45,回复用户我说的好的话、赞我,0.357185321798
46,真的不喜欢关晓彤,0.358384081947
47,很期待甜蜜暴击,0.987574142164
48,电视播完就分手预计时间是一年半载,0.339591643533
49,电视播完就分手预计时间是一年半载,0.339591643533
50,快点分手，快点分手，快点分手！重要事情说三遍！,0.991675113192
51,回复猫的树和狗的你我觉得他跟谁谈恋爱是他的自由，我们不用这样,0.995159086263
52,虽然不是鹿饭，但是他和关晓彤在一起，宝宝表示，活活浪费了一个美男子啊,0.193202878594
53,阿勒！,0.5
54,……,0.638225255973
55,反正我是支持鹿晗的。,0.314146958964
56,我好难过,0.586979108732
57,爱你，支持你鹿 ,0.802640706026
58,祝福祝福,0.996582786193
59,厉害了我的鹿，我女神都搞到手了,0.375209831629
60,#,0.25
61,老铁 很 支持你,0.839261566761
62,回复柒少女呵呵,0.975113253521
63,个人表示不怎么喜欢 关晓彤🌚 🌚 🌚,0.219524629758
64,老铁 很 支持你,0.839261566761
65,回复柒少女呵呵,0.975113253521
66,个人表示不怎么喜欢 关晓彤🌚 🌚 🌚,0.219524629758
67,回复蚊子酱--+,0.0437112539586
68,我看到了一个快手视频号主发了一个视频是鹿晗和关晓彤亲密的视频那个人快手是你们看看,0.595014019658
69,感情是两个人的事，我们不能左右，重要的是看结果，因为什么事都有的发生，毕竟鹿晗和关晓彤还年轻，但愿天下有情人，终成眷属。,0.999510839356
70,不想说什么，找谁都好，为啥要找个人品不好的人来谈恋爱,0.0111187472289
71,我看到了一个快手视频号主发了一个视频是鹿晗和关晓彤亲密的视频那个人快手是你们看看,0.595014019658
72,感情是两个人的事，我们不能左右，重要的是看结果，因为什么事都有的发生，毕竟鹿晗和关晓彤还年轻，但愿天下有情人，终成眷属。,0.999510839356
73,不想说什么，找谁都好，为啥要找个人品不好的人来谈恋爱,0.0111187472289
74,脱粉脱粉   没想到鹿晗是这种人,0.354470813349
75,恭喜你加油,0.960479002976
76,回复/我发表我的意见关你屁事，碍着你了吗,0.0810106668868
77,祝你们幸福！！！,0.932593372625
78,回复永爱小凯有病，本来不想骂人,0.0579313537133
79,恭喜你加油,0.960479002976
80,回复/我发表我的意见关你屁事，碍着你了吗,0.0810106668868
81,祝你们幸福！！！,0.932593372625
82,回复永爱小凯有病，本来不想骂人,0.0579313537133
83,你们要幸福啊,0.916279069767
84,假的,0.5
85,鹿晗，加油,0.87939897274
86,无语。,0.364107301129
87,回复猫的树和狗的你人家选择谁关你什么事，只要他喜欢就好了！,0.88451916941
88,祝你们幸福,0.983363088273
89,回复李晨鹿晗和谁在一起都行，只要鹿晗开心，反正随便找一个也和我木有关系,0.0206573455119
90,我家鹿哥棒棒哒，你幸福就好。我会一直在。加油哦，期待《甜蜜暴击》。。。鹿,0.999999757402
91,喜欢你的爱丽丝没有了,0.806262823769
92,幸福😊,0.907844448513
93,不看《甜蜜暴击》了,0.935601139196
94,喜欢你的爱丽丝没有了,0.806262823769
95,幸福😊,0.907844448513
96,不看《甜蜜暴击》了,0.935601139196
97,回复小小茹小朋友咋回事啊,0.137878861975
98,祝你们幸福,0.983363088273
99,#,0.25
100,庆幸的是你因为这件事涨了不少粉 不幸的是其中%的都是黑粉 不解释的扎心强势走一波嘛~~关晓彤,0.54214215701
101,爱没有什么不可能，如果你是他的粉丝，就应该无权的支持他！,0.828063605607
